token,qid,label,description,aliases,all_qids,all_labels,all_descriptions,confidence,rank,instanceOf_qid,instanceOf_label,subclassOf_qid,subclassOf_label,partOf_qid,partOf_label
Urnfield Culture,Q223998,Urnfield culture,archaeological culture,,Q1353424;Q223998,Urnfield culture;Urnfield culture numerals,;archaeological culture,1.0,"{'type': 'label', 'language': 'en', 'text': 'Urnfield culture'}",Q465299,archaeological culture,,,"Q11761,Q11764","Bronze Age,Iron Age"
Uruguay,Q77,Uruguay,sovereign state in South America,,Q1087618;Q113330807;Q125144449;Q134916;Q18278;Q2442864;Q25487024;Q3296159;Q43298999;Q77,Uruguay;Uruguay River;Uruguay men's national football team;Uruguay national under-20 football team,;Milan Metro station;given name;ichnogenus of insect trace fossils;men's national association football team representing AUF;metro station in Buenos Aires;national association football team;passenger ship built in 1950;river in South America;sovereign state in South America,1.0,"{'type': 'label', 'language': 'en', 'text': 'Uruguay'}","Q1520223,Q3624078,Q6256,Q859563","constitutional republic,country,secular state,sovereign state",,,"Q12585,Q18,Q236118,Q66458647","European Union tax haven blacklist,Latin America,South America,Southern Cone"
Uruk,Q168518,Uruk,ancient city of Sumer and Babylonia,Uruk;uruk,Q12523543;Q12523545;Q1563311;Q168518;Q34614003;Q4247694;Q49256792;Q6458515;Q731494;Q96651138,HD 231701;Uruk;Uruk GNU/Linux;Uruk Gedang;Uruk Mblin;Uruk period;dried apricot;Ürük,"GNU/Linux distribution;ancient city of Sumer and Babylonia;archaeological culture;dehydrated fruit Prunus sect. Armeniaca;female given name;painting by Antonio Saura;star in the constellation Sagitta;village in Dairi Regency, North Sumatra, Indonesia;village in Deli Serdang Regency, North Sumatra, Indonesia;village in Divriği, Sivas, central Turkey",1.0,"{'type': 'label', 'language': 'en', 'text': 'Uruk'}","Q133442,Q15661340,Q3247173,Q486972,Q839954","ancient city,archaeological site,city-state,human settlement,type site",,,"Q133132919,Q25933006","Ahwar of Southern Iraq,Warka"
Utah,Q829,Utah,state of the United States of America,Utah;Utah University,Q1052614;Q116026373;Q1253290;Q128026;Q168515;Q170649;Q22111365;Q27229;Q829;Q940919,University of Utah;Utah;Utah County;Utah Jazz;Utah State University;Utah Territory;Utah Valley University;Ute,";American professional basketball team;Native American people in the United States;county in north-central Utah, United States;genus of insects;public coeducational space-grant research university in Salt Lake City, Utah, United States;public university in Logan, Utah, United States;public university in Orem, Utah, United States;state of the United States of America;territory of the United States between 1850 and 1896",1.0,"{'type': 'label', 'language': 'en', 'text': 'Utah'}",Q35657,U.S. state,,,Q578170,contiguous United States
Uzbekistan,Q265,Uzbekistan,sovereign state in Central Asia,Uzbekistan sports,Q1146334;Q115946048;Q137113;Q1508046;Q265;Q304228;Q4146801;Q487321;Q7076484;Q856855,Uzbekistan;Uzbekistan Cup;Uzbekistan Liberal Democratic Party;Uzbekistan National Revival Democratic Party;Uzbekistan Pro League;Uzbekistan State Institute of Arts and Culture;Uzbekistan Super League;Uzbekistan men's national football team;sport in Uzbekistan,"Football tournament in Uzbekistan;Second football division of Uzbekistan;association football league;higher education institution in Tashkent, Uzbekistan;national association football team;overview of sport in Uzbekistan;political party;political party in Uzbekistan;ship launched in 1962;sovereign state in Central Asia",1.0,"{'type': 'label', 'language': 'en', 'text': 'Uzbekistan'}","Q136361597,Q3624078,Q6256","country,doubly landlocked country,sovereign state",,,Q27275,Central Asia
Valea inferioara a Muresului,,,,,,,,0.0,,,,,,,
Valea inferioară a Mureșului,,,,,,,,0.0,,,,,,,
Valencia (Spain,,,,,,,,0.0,,,,,,,
Valencian Community,Q5720,Valencian Community,autonomous community of Spain,Valencian Community coat of arms;Valencian Community education;Valencian Community flag,Q114316143;Q1849542;Q3818817;Q522786;Q5720;Q5871194;Q601613;Q61090432;Q73369891;Q933011,VALENCIAN COMMUNITY FOUNDATION - EUROPEAN REGION;Valencian Community;Valencian Community Orchestra;Valencian Community autonomous football team;Valencian Community motorcycle Grand Prix;Valencian Community wildfire season;Valencian Community's Social Rights Bill;coat of arms of the Valencian Community;education in Valencian Community;flag of the Land of Valencia,";Official flag the Valencian Community, Spain;Symbol or official emblem of the Generalitat Valenciana;autonomous community of Spain;fire seasons in the Land of Valencia, Spain;motorcycle race held in the Valencian Community, Spain;national association football team;resident Symphony Orchestra at the Valencia Opera House.",1.0,"{'type': 'label', 'language': 'en', 'text': 'Valencian Community'}","Q10742,Q2736168","autonomous community of Spain,historical nationality",,,,
Vaslui County,Q167199,Vaslui County,Județ (department) of Romania,Vaslui County COVID-19 pandemic,Q104720248;Q12731493;Q167199;Q28725874;Q89485219;Q89588658,COVID-19 pandemic in Vaslui County;Vaslui County;Vaslui County Council;Vaslui County councillor,";Județ (department) of Romania;county of the Kingdom of Romania;county of the Principality of Moldova;elected assembly of Vaslui County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Vaslui County'}",Q1776764,county of Romania,,,,
Vatican City,Q237,Vatican City,"Holy See's independent state, an enclave within Rome, Italy",Vatican City COVID-19 pandemic;Vatican City economy;Vatican City flag;Vatican City history;Vatican City-Italy border;Vatican City. Cohors elvetic,Q11327751;Q1444151;Q171504;Q237;Q2385910;Q2457562;Q32039279;Q751816;Q79198;Q87222526,COVID-19 pandemic in Vatican City;Italy–Vatican City border;Pontifical Swiss Guard;Vatican City;Vatican City national association football team;economy of Vatican City;flag of Vatican City;history of Vatican City,";Holy See's independent state, an enclave within Rome, Italy;aspect of history;details of ongoing viral outbreak in Vatican City;divides the territories of Italy and Vatican City;economy of the country;men's national association football team representing the Vatican City;national flag of the Vatican City State and flag representing the Holy See;the facto military of the Vatican City",1.0,"{'type': 'label', 'language': 'en', 'text': 'Vatican City'}","Q10551526,Q1200957,Q123480,Q127693126,Q133442,Q171441,Q19691007,Q3624078,Q51576574,Q570116,Q6256,Q702492,Q7396640,Q98116669","Mediterranean country,city-state,confessional state,country,enclave,institutional complex,landlocked country,religious complex,sacerdotal state,sovereign state,successor state,tourist attraction,tourist destination,urban area",,,,
Vatin Culture,Q4105280,Vatin culture,archaeological culture,,Q4105280,Vatin culture,archaeological culture,1.0,"{'type': 'label', 'language': 'en', 'text': 'Vatin culture'}",Q465299,archaeological culture,,,,
Vaud (Switzerland,,,,,,,,0.0,,,,,,,
Veneto,Q1243,Veneto,region in Italy,Veneto;Veneto Bartholomeo;Veneto Institute of Oncology;Vèneto,Q112594911;Q1243;Q16541832;Q18505703;Q21229375;Q23671272;Q30282158;Q32724;Q59628602;Q809520,Bartolomeo Veneto;Istituto Oncologico Veneto;Marco Marcelliano Marcello;Venetian;Veneto;Veneto 2;Venetocampa;venetoclax,"Chamber of Deputies constituency;Italian painter (1480s-1555);Romance language spoken in the Italian region of Veneto;born:1820|died:1865|; Marcello, Marcelliano, fl. 1839-186 -; Marcello, M. (Marco), 1823-1865; Marcello, Marco Marcelliano; Marcello, Marco, 1823-1865; Marcello, Marco Marcelliano, 1823-1865; Marcello, M. 1823-1865 (Marco),;chemical compound;family name;healthcare organization in Padua, Italy;place in the Province of Verona, Italy;region in Italy;subgenus of arthropods",1.0,"{'type': 'label', 'language': 'en', 'text': 'Veneto'}",Q16110,region of Italy,,,Q2309448,Venetian Plain
Venezuela,Q717,Venezuela,country in South America,Venezuela;Venezuelan parish,Q14513308;Q158105;Q214151;Q37121577;Q473462;Q5848651;Q6063801;Q717;Q8875751;Q99659372,9357 Venezuela;United States of Venezuela;Venezuela;Venezuela Station;Venezuela men's national football team;Venezuelan equine encephalitis virus;parish of Venezuela,"Official representative of the Venezuelan Soccer Federation in international competitions;administrative division in Venezuela under municipalities;country in South America;family name;future station of Lima and Callao metro, Peru;genus of arachnids;main-belt asteroid;metro station in Buenos Aires;republic from 1864 to 1953;species of virus",1.0,"{'type': 'label', 'language': 'en', 'text': 'Venezuela'}","Q3624078,Q6256","country,sovereign state",,,"Q12585,Q18,Q339585,Q377916","G3 Free Trade Agreement,Ibero-America,Latin America,South America"
Venice,Q773853,Venice,"beachfront neighborhood in Los Angeles, California, USA",Venice Football Club;Venice Republic,Q109853296;Q135264475;Q137515560;Q37556754;Q4948;Q501245;Q57325;Q641;Q773853;Q7919972,Republic of Venice;Venezia F.C.;Venice,"2007 puzzle video game;Tony Hawk's Pro Skater 2 level;association football club based in Venice, Italy;beachfront neighborhood in Los Angeles, California, USA;capital city of Veneto, Italy;city in Sarasota County, Florida, United States;family name;former state in Northeastern Italy (697–1797);given name;painting by Luca Carlevarijs",1.0,"{'type': 'label', 'language': 'en', 'text': 'Venice'}",Q52154375,district or neighborhood of Los Angeles,,,,
Venice (Italy,,,,,,,,0.0,,,,,,,
Veracruz (Veracruz-Llave,,,,,,,,0.0,,,,,,,
Vermont,Q16551,Vermont,state of the United States of America,Vermont;Vermont University,Q1048898;Q114607604;Q1427707;Q16551;Q2187579;Q2224910;Q2517106;Q37314921;Q4311018;Q7921664,Hyacinthe Collin de Vermont;University of Vermont;Vermont;Vermont's at-large congressional district,"American rock band;French painter (1693-1761);U.S. House district in the state of Vermont;family name;given name;public research university in Burlington, Vermont, USA;state of the United States of America;suburb of Melbourne, Victoria, Australia;town in Dane County, Wisconsin, United States;village in Fulton County, Illinois",1.0,"{'type': 'label', 'language': 'en', 'text': 'Vermont'}",Q35657,U.S. state,,,"Q18389,Q578170","New England,contiguous United States"
Vestul Dobrogei,,,,,,,,0.0,,,,,,,
Vestul Munteniei,,,,,,,,0.0,,,,,,,
Vestul Olteniei,,,,,,,,0.0,,,,,,,
Vestul Transilvaniei si Crisana,,,,,,,,0.0,,,,,,,
Vicenza (Italy : Province,,,,,,,,0.0,,,,,,,
Vieques Island (Puerto Rico,,,,,,,,0.0,,,,,,,
Vietnam,Q881,Vietnam,country in Southeast Asia,Vietnam,Q10841085;Q1193879;Q174386;Q200180;Q216151;Q270689;Q430309;Q8740;Q881;Q9199,Dai Co Viet;Dai Viet;State of Vietnam;Vietnam;Vietnam Airlines;Vietnam War;Vietnam men's national football team;Vietnamese;Vietnamese Wikipedia;Vietnamese people,"1949–1955 state in Southeast Asia;Austroasiatic language originating in Vietnam;Vietnamese monarchy (10th–19th century);Vietnamese-language edition of Wikipedia;armed conflict in Vietnam, Laos, and Cambodia between North Vietnam and South Vietnam, from 1955 to 1975;country in Southeast Asia;ethnic group originally from northern Vietnam;flag-carrier airline of Vietnam;historical state;national association football men's team that represents Vietnam",1.0,"{'type': 'label', 'language': 'en', 'text': 'Vietnam'}","Q3624078,Q6256,Q849866","communist state,country,sovereign state",,,"Q11708,Q43467","Mainland Southeast Asia,Southeast Asia"
Virginia,Q1370,Virginia,state of the United States of America,,Q1370;Q1646024;Q25661258;Q290763;Q35738756;Q37165002;Q4013975;Q607350;Q63243954;Q7934092,Virginia;Virginia Azzolini;Virginia Museum of Fine Arts;Virgínia,"art museum in Richmond, Virginia;daughter of Aulus Verginius, a patrician;experimental particle physicist at Carnegie Mellon University;family name;female given name;genus of algae;genus of reptiles;municipality in Lempira Department, Honduras;state of the United States of America",1.0,"{'type': 'label', 'language': 'en', 'text': 'Virginia'}",Q35657,U.S. state,,,"Q2261430,Q578170","South Atlantic states,contiguous United States"
Visapour,Q83108,Vijaypura District,"district in Karnataka, India",Visapour,Q83108,Vijaypura District,"district in Karnataka, India",0.95,"{'type': 'alias', 'language': 'fr', 'text': 'Visapour'}",Q1149652,district of India,,,,
Vlastimirović Dynasty,Q931486,Vlastimirović dynasty,Serbian royal dynasty,,Q931486,Vlastimirović dynasty,Serbian royal dynasty,1.0,"{'type': 'label', 'language': 'en', 'text': 'Vlastimirović dynasty'}","Q1156073,Q164950","dynasty,royal house",,,,
Vojislavljević Dynasty,Q1283839,Vojislavljević dynasty,dynasty,,Q1283839,Vojislavljević dynasty,dynasty,1.0,"{'type': 'label', 'language': 'en', 'text': 'Vojislavljević dynasty'}",Q164950,dynasty,,,,
Vrancea County,Q182778,Vrancea County,county in Romania,Vrancea County COVID-19 pandemic,Q104720250;Q182778;Q89485223;Q89588667,COVID-19 pandemic in Vrancea County;Vrancea County;Vrancea County Council;Vrancea County councillor,";county in Romania;elected assembly of Vrancea County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Vrancea County'}",Q1776764,county of Romania,,,,
Vukanović Dynasty,Q3622713,Vukanović dynasty,family,,Q3622713,Vukanović dynasty,family,1.0,"{'type': 'label', 'language': 'en', 'text': 'Vukanović dynasty'}","Q13417114,Q164950","dynasty,noble family",,,Q1283839,Vojislavljević dynasty
Vučedol Culture,Q922829,Vučedol culture,archaeological culture,,Q23991063;Q922829,Vučedol Culture Museum;Vučedol culture,archaeological culture;museum in Croatia,1.0,"{'type': 'label', 'language': 'en', 'text': 'Vučedol culture'}",Q465299,archaeological culture,,,,
Vâlcea County,Q186838,Vâlcea County,county in Romania,Vâlcea County COVID-19 pandemic,Q104720249;Q18549125;Q186838;Q89485227;Q89588675,COVID-19 pandemic in Vâlcea County;Vâlcea County;Vâlcea County Council;Vâlcea County councillor,";Kingdom of Romania;county in Romania;elected assembly of Vâlcea County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Vâlcea County'}",Q1776764,county of Romania,,,,
Wadi Jawf,Q32206586,Wādī Jawf,,,Q31293986;Q31911937;Q31911941;Q32206586;Q32206600;Q34942842;Q35260497,Wādī Jawf;Wādī Jawf al Ḩimār;Wādī Jawf al ‘Ubayd;Wādī Jawfat Zaban;Wādī Jawfān wa Ḩabāshah,;river in Tunisia,0.8,"{'type': 'label', 'language': 'en', 'text': 'Wādī Jawf'}",Q187971,wadi,,,,
Warwickshire,Q67575123,Warwickshire,historic county of England,Warwickshire North;Warwickshire history,Q1051633;Q17016455;Q17066348;Q17581851;Q23140;Q2725705;Q60576075;Q67575123;Q7971218;Q7971232,North Warwickshire;Warwickshire;Warwickshire County Council;Warwickshire County Cricket Club;Warwickshire Cricket Board;history of Warwickshire,"Constituency of the Parliament of England (to 1707);English cricket club;Parliamentary constituency in the United Kingdom, 1801-1832;Parliamentary constituency in the United Kingdom, 1983-2024;UK cricket team;UK non-metropolitan county council;Watsonian vice-county;aspect of history;ceremonial and non-metropolitan county in England, UK;historic county of England",1.0,"{'type': 'label', 'language': 'en', 'text': 'Warwickshire'}",Q1138494,historic county of England,,,Q21,England
